Substrate,ECNumber,Organism_ID_sabio,kcat
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,382,3.46
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,644,81.98
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1283,6.87
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1390,4.8
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1402,83.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1408,377.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1409,72.6
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1423,40.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1833,22.15333
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1904,0.05773333
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1938,8.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,2725,0.018
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.11.1.7,3704,57.3
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.11.1.7,3991,10200.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,5322,5833.333
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,35619,6.6
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,40324,1.18
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,59843,1400.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,66692,90.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.11.2.1,71721,123.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,77133,34.39
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,83333,31.7
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,100226,60.6
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,103232,9.99
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.1,119864,28.73
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,119864,4.5
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,135461,8.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,160488,2.4
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,178306,1.82
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,181243,8.45
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,191221,549.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,196627,1.606667
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,220664,2.2
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,224308,1.383333
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,224324,2.066667
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,226186,216.6667
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,262724,4.77
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.11.1.7,272560,10.1
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,279010,83.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,293387,50.3
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,309800,10.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.3.3.5,315750,716.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,354242,7.766667
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,358898,300.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,439375,0.93
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,463191,7.383333
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,492218,68409.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,504728,5.416667
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,525904,2.133
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,575584,300.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,633276,0.393
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,671179,592.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,762633,0.365
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,866894,2.95
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,886559,1037.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,936599,77.9
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,997250,50.1
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,997253,14.4
